,Overall,Potential,Age,Height(in cm),Weight(in kg),Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Curve,Acceleration,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Aggression,Vision,Penalties,Composure, GoalkeeperKicking,Nationality,Preferred Foot
17,89,90,27,177,75,4,3,4,68,72,87,84,83,79,91,68,72,87,85,77,84,88,84,78,79,94,68,89,85,44,85,7,Germany,Right
18,89,90,29,191,91,3,1,3,86,85,85,89,54,90,17,13,29,60,19,58,40,87,37,64,52,32,78,27,66,23,68,85,Brazil,Right
19,89,89,31,168,70,3,2,4,72,66,74,81,87,82,68,65,54,82,49,77,78,93,92,71,75,95,72,93,77,54,84,10,France,Right
20,88,91,25,187,82,4,2,3,63,39,66,68,88,88,54,29,87,82,46,57,60,89,56,74,78,83,89,92,51,45,81,13,Portugal,Right
21,88,94,21,195,94,3,3,4,89,91,65,80,49,87,47,94,79,74,77,82,76,88,72,94,74,81,93,85,74,76,85,13,Norway,Left
22,88,92,23,196,90,3,1,3,90,83,79,89,52,85,12,12,12,36,12,50,64,85,38,59,72,34,72,30,60,24,65,79,Italy,Right
23,88,88,27,173,64,3,4,2,77,78,84,92,61,68,85,79,51,89,85,84,94,87,92,79,51,93,54,75,85,68,90,14,Portugal,Left
24,88,88,28,182,74,4,4,3,85,73,85,85,81,73,88,69,72,88,87,86,79,85,78,80,72,91,62,76,85,52,86,15,Portugal,Right
25,88,90,28,183,75,3,3,3,79,56,75,74,89,80,68,59,88,84,58,77,68,88,66,65,92,82,78,81,76,52,86,12,Brazil,Right
26,88,88,35,185,80,3,1,3,89,84,75,89,54,87,11,15,11,40,21,54,60,85,61,56,74,39,75,32,68,25,67,75,Costa Rica,Right
27,88,89,30,187,85,4,1,4,86,85,87,90,47,85,18,14,11,61,18,45,39,85,43,65,79,35,78,43,70,25,70,87,Germany,Right
28,88,88,32,183,76,5,3,4,53,81,90,81,71,68,88,77,58,93,86,55,63,90,71,89,32,75,72,60,89,73,88,13,Germany,Right
29,88,88,36,172,66,4,4,4,73,76,89,88,72,66,86,72,55,91,85,76,91,88,92,79,67,83,58,62,90,82,92,7,Croatia,Right
30,87,88,29,190,85,3,2,2,82,53,71,67,86,85,68,40,82,80,50,72,56,85,50,77,84,71,90,92,61,40,78,10,Germany,Right
31,87,89,26,191,82,4,3,3,58,72,78,79,83,84,63,64,80,86,65,54,65,82,65,89,72,88,84,82,83,46,85,7,Spain,Right
32,87,88,28,188,78,2,3,3,66,69,78,77,86,83,75,63,75,84,71,64,63,86,64,81,75,88,81,85,76,90,85,6,Brazil,Right
33,87,87,35,188,82,1,1,4,88,83,74,88,61,84,13,10,9,54,12,61,54,84,56,56,74,41,43,31,59,40,59,74,France,Left
34,87,87,32,185,76,4,3,4,69,84,83,80,56,71,85,88,81,85,81,66,72,94,71,78,77,86,66,62,86,70,84,11,Germany,Right
35,87,87,31,192,76,3,1,4,88,80,76,89,51,84,17,13,21,48,21,52,63,89,43,57,67,43,55,30,53,29,58,76,Spain,Right
36,87,87,29,165,60,4,4,3,60,61,87,91,79,66,82,60,57,90,85,65,90,87,93,60,66,75,53,89,89,64,94,15,Italy,Right
37,87,90,26,191,89,4,1,2,85,82,85,89,51,85,18,15,17,57,38,50,41,85,56,64,74,39,78,35,61,15,66,85,France,Right
38,87,90,23,180,69,4,3,3,76,69,89,80,80,73,92,62,69,87,87,76,73,83,73,82,66,89,66,71,90,55,82,14,England,Right
39,87,87,28,178,64,2,3,3,80,61,81,81,82,76,88,55,67,82,82,79,75,85,74,76,62,95,65,85,80,55,83,10,Scotland,Left
40,87,87,31,187,89,4,2,3,82,33,59,68,88,85,38,25,84,71,53,74,51,83,34,67,82,70,94,83,60,33,82,7,Senegal,Right
41,87,88,27,189,82,4,3,4,78,82,82,83,81,86,75,82,86,86,76,78,76,87,73,85,80,86,88,82,84,60,82,15,Germany,Right
42,87,92,25,180,74,3,4,3,82,69,86,87,77,78,78,72,72,91,84,80,87,88,79,68,76,89,74,74,88,53,90,10,Netherlands,Right
43,86,86,31,174,70,3,5,3,61,72,87,90,72,69,78,68,54,91,85,69,90,84,90,75,86,76,60,80,88,75,90,7,Spain,Right
44,86,86,32,185,85,4,3,4,85,87,68,80,39,75,55,91,81,79,70,84,75,87,84,86,82,78,74,73,71,88,76,15,Italy,Right
45,86,86,29,191,94,4,3,4,80,85,75,77,38,82,73,88,87,78,78,72,59,86,52,87,74,67,95,71,75,88,82,14,Belgium,Left
46,86,86,30,180,78,4,3,4,79,71,83,80,85,77,83,63,77,89,77,79,76,88,78,82,81,74,78,78,78,79,85,14,Austria,Left
47,86,86,27,170,69,3,4,4,90,80,78,86,45,67,79,82,46,83,79,94,94,91,93,78,57,79,65,59,80,70,77,12,England,Right
48,86,86,31,179,67,4,5,3,80,83,81,90,38,60,81,84,56,83,85,84,92,83,88,84,56,75,57,48,83,80,83,13,Algeria,Left
49,86,86,28,177,75,3,4,3,80,85,85,90,40,59,82,83,58,86,89,84,88,79,90,84,74,68,60,43,91,84,79,4,Argentina,Left
50,86,86,37,183,79,3,2,4,49,54,73,72,87,76,60,40,82,81,62,45,62,83,66,71,88,66,80,76,71,60,86,5,Brazil,Right
51,86,86,32,195,90,3,1,3,86,81,73,87,49,86,12,12,16,32,16,51,55,82,51,55,71,45,65,40,48,18,65,73,Poland,Right
52,86,86,31,189,84,4,1,3,84,82,79,87,46,85,13,13,11,25,14,43,42,83,37,59,76,45,75,30,46,17,64,79,Germany,Right
53,86,86,27,179,69,3,4,3,72,86,88,81,67,76,85,83,64,88,87,75,78,91,79,88,71,92,66,80,91,90,79,15,Portugal,Right
54,86,86,33,182,74,4,3,2,50,83,90,80,71,68,86,83,61,92,88,52,63,79,72,81,49,76,70,58,90,88,85,12,Spain,Right
55,86,87,28,191,85,3,2,3,61,50,72,69,86,79,58,45,84,83,61,55,57,87,55,68,80,67,84,81,65,44,84,5,Spain,Left
56,86,87,26,179,75,3,5,4,92,77,79,87,30,61,81,76,61,80,83,94,92,86,84,83,73,69,66,35,81,70,78,5,France,Right
57,86,86,29,181,68,4,3,3,69,74,81,81,81,78,73,69,70,85,79,70,79,83,84,80,70,94,68,86,83,69,82,15,Croatia,Right
58,86,89,25,172,68,3,3,3,79,76,83,84,77,81,79,73,53,86,79,80,90,88,90,77,78,94,73,84,86,73,86,13,Italy,Right
59,86,90,24,174,72,4,4,3,83,83,72,85,48,84,58,88,84,76,78,86,86,89,89,80,89,80,84,90,80,74,86,8,Argentina,Right
60,86,87,27,188,80,3,2,3,78,41,57,69,88,86,40,42,81,72,34,75,54,86,56,50,85,81,89,87,46,56,87,12,Slovakia,Right
61,86,89,24,175,73,3,5,3,88,81,83,88,65,66,81,86,61,85,82,87,88,85,90,79,59,78,64,59,85,67,81,10,France,Right
62,86,87,30,197,86,2,1,2,84,82,81,88,34,85,10,5,10,47,13,33,50,84,33,61,39,37,72,22,52,13,58,81,Senegal,Right
63,86,92,21,176,73,4,5,2,95,79,74,90,29,67,72,84,50,75,77,95,94,82,83,76,75,84,62,58,75,65,79,7,Brazil,Right
64,86,87,27,191,76,5,4,3,68,80,82,82,79,86,71,82,86,86,81,66,62,84,63,83,87,91,87,79,83,59,84,7,Serbia,Right
65,85,87,26,195,99,3,3,3,71,48,66,59,85,83,48,30,84,79,33,60,34,82,44,78,60,65,94,86,66,32,82,14,Germany,Right
66,85,85,28,173,75,4,4,3,83,82,82,87,38,80,81,83,49,83,83,88,85,81,91,84,64,80,81,79,87,74,89,8,France,Left
67,85,85,26,176,77,4,4,4,82,84,79,85,43,69,78,86,42,82,74,85,85,82,88,87,55,76,69,63,82,68,82,10,Germany,Right
68,85,85,31,180,80,4,4,3,64,80,85,85,72,72,78,81,50,88,86,66,77,86,77,79,61,74,73,70,86,80,87,5,Germany,Right
69,85,85,32,183,83,2,3,3,91,63,77,78,80,82,77,51,74,80,76,87,66,85,69,86,83,86,80,84,69,63,75,16,England,Right
70,85,85,33,187,80,4,4,3,87,84,74,79,36,68,72,87,76,78,80,85,77,84,67,82,75,74,74,43,74,82,83,15,Gabon,Right
71,85,85,33,170,68,3,3,3,84,70,82,82,77,70,86,73,70,86,82,86,87,79,84,64,80,83,61,75,78,59,80,13,Spain,Left
72,85,85,33,189,76,3,3,4,42,62,79,79,82,73,62,67,68,87,66,40,66,81,50,61,66,75,70,79,83,60,90,13,Spain,Right
73,85,85,34,176,67,4,3,2,82,85,79,86,35,63,80,90,76,79,79,78,87,84,72,79,66,70,60,63,81,82,85,9,Spain,Left
74,85,85,29,191,84,4,5,4,67,80,85,85,62,80,73,74,74,87,85,60,71,77,65,90,80,65,88,79,90,80,85,2,France,Right
75,85,85,28,176,78,3,5,4,83,84,82,86,30,79,84,84,65,81,85,82,80,84,81,87,69,79,83,72,85,76,80,6,Netherlands,Right
76,85,85,30,180,68,3,3,2,54,67,86,81,73,73,75,64,56,92,75,63,75,82,72,71,58,87,66,79,88,89,84,13,Italy,Right
77,85,85,30,172,69,3,3,2,76,74,83,87,80,83,87,66,60,84,88,77,83,84,90,82,63,91,80,84,82,76,87,13,Argentina,Left
78,85,85,30,180,77,4,3,2,78,86,77,83,46,72,77,89,82,79,77,78,77,85,72,83,79,77,74,61,78,85,80,7,Spain,Left
79,85,85,28,181,73,4,4,3,89,82,80,87,53,67,81,81,53,80,87,89,87,81,71,85,71,79,61,65,80,81,84,9,Belgium,Right
80,85,85,29,184,84,2,3,3,84,78,82,82,68,80,92,76,59,80,83,87,76,82,79,86,67,90,77,80,81,66,82,12,Serbia,Left
81,85,85,35,179,74,4,3,3,84,84,70,79,52,72,69,90,78,74,69,85,74,88,75,87,80,73,65,86,74,85,86,7,England,Right
82,85,93,19,174,61,4,4,2,79,67,81,87,68,73,68,68,50,87,79,82,88,85,90,66,65,88,70,62,88,53,87,11,Spain,Right
83,85,92,22,171,69,3,4,3,82,78,81,88,56,60,76,79,47,85,73,86,91,83,91,82,49,83,47,64,85,64,84,6,England,Left
84,85,89,22,189,89,3,2,3,75,59,61,69,84,87,52,50,85,75,48,69,60,84,62,82,93,75,93,83,45,40,82,11,Netherlands,Right
85,85,87,26,191,86,3,4,3,78,83,71,83,36,76,64,87,86,78,78,74,83,82,67,82,75,69,83,65,74,67,84,8,Czech Republic,Left
86,85,90,24,184,81,3,3,3,93,72,76,81,78,83,84,69,74,79,69,92,78,85,76,83,68,90,81,82,73,50,80,7,France,Left
87,85,89,25,178,73,5,4,2,85,83,75,85,57,77,73,86,84,77,77,88,86,87,85,85,81,83,71,85,77,69,80,15,Portugal,Right
88,85,85,32,191,86,2,1,3,85,84,76,85,43,83,16,10,23,35,18,42,41,81,42,57,67,37,74,34,44,24,45,76,Hungary,Right
89,85,85,33,183,79,4,1,3,78,81,82,90,50,86,13,13,10,40,12,48,55,82,58,62,73,45,68,38,64,24,57,82,Switzerland,Right
90,85,85,33,180,71,4,4,4,70,84,84,85,53,65,84,84,44,85,88,75,83,86,81,86,68,72,66,51,86,79,86,13,Germany,Right
91,84,86,26,184,79,2,2,3,77,54,70,71,84,80,78,53,82,77,59,77,70,85,72,62,86,76,78,90,63,42,77,8,France,Left
92,84,84,36,184,82,3,3,4,61,69,73,70,83,77,63,65,88,78,72,66,66,85,65,79,91,56,81,90,71,90,86,9,Spain,Right
93,84,84,34,167,68,4,4,3,86,78,83,85,39,54,83,77,38,83,85,90,91,80,93,79,67,71,44,56,85,72,85,12,Argentina,Right
94,84,84,37,193,92,3,1,3,80,80,65,85,43,90,12,10,10,42,20,41,44,79,36,49,75,36,69,25,41,23,64,65,Slovenia,Right
95,84,84,35,169,61,4,4,3,78,82,80,87,34,49,73,84,40,84,82,82,85,80,92,80,58,65,37,59,84,79,81,8,Belgium,Right
96,84,84,35,182,86,4,3,4,70,86,78,78,46,81,75,87,84,78,85,73,70,86,77,86,69,71,84,87,80,82,86,31,Uruguay,Right
97,84,84,33,181,76,3,4,3,68,81,86,84,43,77,88,83,66,87,85,68,73,84,84,79,59,88,81,56,88,84,87,14,Serbia,Left
98,84,84,27,183,72,3,4,2,82,81,81,86,36,71,77,82,62,85,78,82,92,84,87,83,65,74,64,85,83,76,78,5,Italy,Left
99,84,84,29,185,77,3,3,2,65,71,81,80,80,83,74,66,68,85,69,61,67,82,50,86,83,82,84,84,85,49,86,9,Ghana,Right
100,84,84,31,192,78,2,1,1,84,81,76,86,36,84,15,14,14,39,12,37,47,80,29,57,48,43,69,25,62,24,57,76,Morocco,Left
101,84,84,28,178,76,4,4,3,67,80,85,86,68,64,80,75,53,87,85,72,83,84,79,85,45,78,55,73,86,81,83,11,Turkey,Right
102,84,84,28,176,80,4,4,3,70,69,83,88,71,71,73,61,42,90,79,77,86,82,84,79,75,79,65,77,86,59,84,6,Croatia,Right
103,84,84,26,180,81,3,4,3,76,76,83,87,46,69,82,76,36,84,78,78,84,81,84,76,32,80,70,60,86,58,88,11,England,Right
104,84,84,30,173,73,3,3,3,82,54,77,80,78,79,82,51,70,82,76,80,78,79,82,68,77,85,74,85,72,45,80,15,Spain,Right
105,84,84,31,187,80,3,2,2,64,35,58,58,87,80,36,34,84,73,34,60,58,82,52,43,86,69,83,86,55,37,80,14,Montenegro,Right
106,84,84,29,195,88,4,1,3,85,83,82,85,58,83,22,16,26,50,22,59,49,80,49,62,60,40,70,37,66,42,60,82,Argentina,Right
107,84,85,29,191,81,4,2,3,81,49,64,66,85,80,42,46,85,78,46,77,62,82,39,52,80,67,87,78,59,43,82,9,France,Right
108,84,84,31,170,68,5,4,2,81,84,78,88,39,68,74,87,74,83,82,82,91,85,91,84,77,72,68,62,80,85,85,9,France,Right
109,84,84,31,163,59,4,4,4,84,78,84,89,36,45,76,76,59,84,89,87,90,77,94,76,48,74,35,34,87,87,81,14,Italy,Right
110,84,84,33,191,94,3,3,4,53,59,76,72,87,78,65,57,86,81,66,45,60,86,62,71,70,66,87,71,80,68,89,10,Germany,Right
111,84,84,30,189,78,3,2,3,68,41,65,69,87,79,49,25,84,75,45,66,61,85,59,65,80,80,79,77,70,41,85,7,Netherlands,Right
112,84,84,30,194,90,2,2,2,61,46,69,71,87,78,54,36,84,80,63,53,55,86,42,66,78,67,82,84,72,42,80,10,Cameroon,Right
113,84,85,30,197,86,2,1,3,84,82,79,86,45,84,15,15,14,35,20,44,50,80,43,59,58,44,72,33,42,20,40,79,Belgium,Left
114,84,84,31,176,65,3,4,2,83,79,85,82,68,71,81,78,50,84,85,84,83,84,81,78,39,80,71,68,90,80,80,16,Spain,Left
115,84,84,29,170,66,3,4,2,81,77,82,87,51,61,81,79,43,85,84,84,91,81,94,73,72,77,49,66,84,64,84,5,Spain,Right
116,84,84,31,173,71,4,3,2,70,64,82,77,80,72,86,54,79,82,86,74,66,83,79,79,78,86,64,73,80,66,78,8,England,Right
117,84,84,35,190,85,4,2,3,54,59,69,71,85,78,44,50,83,81,56,53,55,81,53,74,90,63,82,82,71,74,86,3,Italy,Right
118,84,84,34,180,69,2,5,4,79,79,84,87,48,67,85,76,51,82,92,80,91,83,75,83,70,74,61,73,87,73,86,11,Argentina,Left
119,84,84,31,175,74,4,4,4,83,80,82,87,35,63,77,78,61,85,83,84,85,77,89,82,55,74,61,54,84,87,88,6,Belgium,Right
120,84,84,33,186,80,5,4,3,78,81,79,82,74,78,85,80,80,79,78,79,76,85,75,84,87,84,80,65,76,76,88,10,Croatia,Right
121,84,84,36,193,80,5,3,3,63,84,71,77,45,75,63,87,85,76,65,61,62,83,55,86,64,69,86,58,74,67,87,13,Bosnia and Herzegovina,Right
122,84,84,37,187,85,3,2,4,65,46,60,58,85,83,63,33,77,65,60,66,53,78,57,78,90,63,91,87,50,50,83,2,Italy,Left
123,84,84,28,180,70,3,4,1,78,77,83,82,75,81,78,76,58,85,84,80,78,81,80,80,68,91,80,76,86,66,81,10,Argentina,Right
124,84,91,19,186,75,4,4,2,75,75,78,84,77,80,66,77,67,84,68,78,81,84,79,78,76,89,74,85,84,56,79,10,England,Right
125,84,90,24,175,70,4,4,3,91,81,76,86,48,73,75,80,50,78,78,91,88,86,81,86,53,85,70,69,77,62,81,8,Italy,Right
126,84,88,22,171,67,3,4,2,93,73,75,87,42,59,76,80,28,80,71,95,92,76,93,73,62,82,44,67,77,50,75,8,France,Left
127,84,91,24,178,84,4,5,1,83,87,80,85,29,74,74,86,72,83,77,81,81,81,77,90,66,78,79,58,81,89,84,6,England,Right
128,84,90,23,188,81,4,4,1,91,77,73,86,27,74,75,80,63,76,80,90,82,83,80,80,62,77,80,60,74,63,81,15,Portugal,Right
129,84,89,23,181,75,3,2,2,84,45,64,74,85,78,45,47,80,81,42,85,71,85,74,48,88,76,80,75,62,43,82,8,France,Right
130,84,86,25,176,72,5,4,2,56,80,86,81,70,73,82,74,67,89,84,58,67,84,77,87,68,85,69,69,87,77,85,10,Belgium,Right
131,84,90,22,181,79,4,3,1,81,73,81,79,79,82,78,69,70,84,75,78,81,82,83,79,65,85,81,84,78,64,84,8,Italy,Right
132,84,87,25,180,73,4,4,1,91,80,75,87,34,73,76,80,62,76,75,92,88,83,75,84,73,84,69,70,77,63,83,13,Colombia,Right
133,84,89,24,186,78,3,2,2,86,50,70,72,85,82,69,48,82,79,60,83,70,85,62,62,85,86,79,84,59,60,74,15,Brazil,Right
134,84,90,23,182,78,4,3,1,87,74,80,79,78,80,70,69,59,86,70,82,76,84,68,83,62,86,79,81,81,59,82,6,Uruguay,Right
135,84,85,26,183,80,2,4,3,88,81,80,85,38,66,82,80,72,82,84,89,87,82,81,86,64,70,66,63,81,71,82,9,Germany,Left
136,84,88,22,178,87,3,3,2,81,70,82,82,80,82,88,66,71,82,82,79,75,81,88,83,75,83,85,74,80,52,82,7,England,Right
137,84,90,23,190,75,3,2,1,73,35,69,71,86,82,70,26,82,78,53,68,58,86,57,49,75,81,82,84,57,47,82,9,Italy,Left
138,84,91,23,189,82,4,4,3,81,79,79,84,45,66,74,81,80,84,84,76,77,84,75,74,75,77,69,42,82,73,84,11,Germany,Left
139,84,90,22,181,72,4,5,2,83,80,81,88,40,67,77,79,69,83,83,84,88,83,84,80,76,75,62,68,86,68,86,14,Portugal,Right
140,84,87,23,181,73,4,4,2,92,75,79,80,75,78,84,75,68,81,77,91,82,81,78,80,79,92,72,75,77,60,72,14,Morocco,Right
141,84,89,21,185,77,4,4,3,94,66,77,85,76,77,85,64,72,82,72,96,86,84,84,74,78,81,75,77,77,60,78,6,Canada,Left
142,84,87,23,185,80,3,2,1,71,64,74,76,82,83,55,61,72,83,58,68,55,81,67,74,74,90,79,84,79,71,83,14,England,Right
143,84,87,23,180,74,4,3,3,74,81,85,82,55,67,83,81,59,87,82,76,77,84,76,81,54,86,58,68,83,69,84,13,England,Right
144,84,88,22,180,76,3,5,3,81,74,81,89,36,59,80,77,38,86,84,84,90,81,89,71,51,66,62,44,85,74,85,10,England,Right
145,84,90,24,185,79,4,2,2,86,40,60,66,86,81,56,33,83,73,38,80,74,84,71,56,83,73,84,83,48,27,81,10,England,Right
146,84,86,25,183,88,4,3,3,78,76,74,79,82,87,66,73,68,83,61,77,70,81,77,84,72,93,86,84,76,88,84,12,Côte d'Ivoire,Right
147,84,86,25,181,79,3,3,2,79,83,80,83,41,62,81,85,60,82,77,80,79,80,80,80,72,79,57,52,82,84,83,10,Spain,Left
148,84,87,26,186,77,4,3,2,79,77,83,84,74,78,74,77,74,88,74,79,80,85,82,79,70,90,74,74,87,82,84,10,Italy,Right
149,84,86,25,183,74,4,3,1,66,62,68,73,85,83,53,50,70,78,60,64,63,87,66,80,89,89,78,88,62,57,80,7,Nigeria,Right
150,84,85,27,184,74,4,3,3,88,79,81,82,78,81,74,80,67,86,75,85,82,85,68,84,69,90,77,82,84,65,83,6,Spain,Right
151,84,89,23,178,68,2,5,3,76,75,86,84,58,63,84,75,52,88,83,78,85,74,83,76,46,79,56,63,86,63,78,15,Norway,Left
152,84,91,22,190,75,3,3,2,80,85,66,78,28,79,57,88,77,73,69,77,61,85,52,84,68,79,88,60,68,73,80,6,Serbia,Left
153,83,83,29,186,79,4,3,2,76,47,63,67,82,82,35,32,79,76,47,77,62,84,50,73,82,68,87,85,63,41,75,14,Brazil,Right
154,83,85,25,171,69,3,4,2,78,71,82,84,76,70,88,70,65,81,83,85,85,82,85,80,72,85,60,77,79,55,81,13,Spain,Left
155,83,86,25,178,67,5,5,3,93,77,79,87,36,56,85,75,43,78,82,94,90,78,81,83,58,68,51,54,81,75,80,14,France,Left
156,83,84,26,182,76,3,4,3,82,80,81,83,43,62,81,78,57,81,84,83,80,78,76,86,58,75,63,45,80,62,82,6,Spain,Left
157,83,86,25,180,80,4,3,2,58,74,86,77,76,73,80,65,53,88,85,63,68,80,72,85,66,79,67,83,87,76,86,10,Portugal,Right
158,83,86,26,189,83,3,3,1,73,78,81,82,82,81,77,79,86,84,80,73,75,84,72,84,81,84,79,81,81,60,80,9,Spain,Left
159,83,84,25,180,72,3,3,2,84,68,78,79,81,78,78,69,69,83,70,82,76,80,74,72,73,90,69,87,78,54,81,12,Austria,Right
160,83,86,26,189,80,3,2,3,80,43,68,69,83,86,59,33,80,80,50,79,68,80,59,70,79,79,88,90,64,52,79,14,France,Left
161,83,85,26,189,70,3,4,2,61,79,80,83,74,72,72,79,67,85,75,67,71,81,67,77,46,90,67,68,84,67,85,7,Spain,Left
162,83,84,27,180,73,5,4,1,92,64,77,78,78,84,78,63,72,82,72,91,81,82,79,69,79,90,83,82,75,49,78,9,France,Left
163,83,83,30,177,75,4,4,1,88,77,83,84,35,72,83,74,64,83,86,90,86,84,71,82,69,88,68,62,83,77,81,13,Brazil,Right
164,83,86,25,175,73,3,4,2,84,82,74,86,40,74,74,83,78,78,76,87,91,85,87,84,79,82,69,75,77,75,78,6,Brazil,Right
165,83,86,25,190,89,3,1,3,82,79,77,85,49,85,16,14,18,41,20,48,37,77,47,58,66,44,76,29,48,24,46,77,Spain,Right
166,83,89,23,185,78,4,3,2,90,82,65,78,40,81,62,88,80,72,63,86,78,84,68,79,90,81,85,69,69,75,79,10,Nigeria,Right
167,83,85,26,187,84,4,3,2,55,73,77,77,80,82,68,68,65,83,70,56,65,84,67,85,65,87,79,87,73,56,84,12,Denmark,Right
168,83,88,24,185,79,2,3,3,73,46,57,65,85,82,42,48,83,74,54,75,67,82,68,51,85,74,82,90,41,40,80,11,Argentina,Right
169,83,86,25,176,68,4,4,2,91,79,77,85,50,73,79,77,45,76,81,90,88,83,79,83,74,86,65,76,77,78,80,13,Brazil,Left
170,83,88,25,180,76,4,3,2,80,77,83,80,71,72,77,78,56,85,80,78,76,83,73,77,58,84,71,65,85,86,76,7,Spain,Right
171,83,88,24,195,88,3,1,1,84,80,74,88,43,79,13,10,13,39,13,38,37,81,29,56,68,30,81,24,59,12,66,74,Switzerland,Right
172,83,89,25,191,80,3,2,2,73,38,67,70,84,81,55,28,85,80,45,70,68,80,52,58,80,80,82,79,67,42,73,13,Spain,Left
173,83,87,23,189,76,4,4,2,87,82,77,84,41,74,83,82,60,76,78,86,81,81,71,86,75,79,77,60,79,68,78,7,Netherlands,Right
174,83,89,23,192,91,3,2,1,77,51,65,61,83,83,58,56,85,76,47,68,56,81,55,61,87,74,86,84,59,43,76,9,Uruguay,Right
175,83,83,40,182,82,3,3,1,58,71,78,75,79,83,63,66,52,83,73,53,63,83,66,86,61,86,79,95,83,64,81,14,England,Left
176,83,83,31,189,88,4,3,2,78,82,63,79,35,85,47,87,83,75,55,77,67,82,58,86,80,78,95,72,66,75,82,8,Colombia,Right
177,83,84,27,171,70,4,4,2,85,84,77,87,50,74,75,86,71,80,82,86,90,84,88,83,49,83,70,79,82,66,77,9,Argentina,Right
178,83,85,27,185,79,3,2,2,71,46,57,60,85,83,47,37,82,70,36,70,52,78,56,73,90,70,86,88,46,38,75,7,Uruguay,Right
179,83,86,26,171,66,3,4,3,82,78,83,87,68,64,82,77,54,84,85,84,90,82,85,79,68,80,56,63,85,69,80,13,France,Left
180,83,87,25,188,82,2,2,1,78,50,56,65,84,79,46,49,86,69,42,77,66,79,66,68,82,70,82,82,45,43,74,13,Brazil,Right
181,83,83,34,179,72,3,5,3,90,75,78,87,76,72,84,70,68,81,82,91,93,82,81,84,80,78,66,78,72,65,74,13,Colombia,Right
182,83,83,28,180,75,5,4,3,81,77,81,86,70,62,73,75,52,85,80,83,85,81,79,79,52,79,57,56,84,58,75,12,Poland,Right
183,83,83,36,172,60,2,4,2,85,68,82,81,79,57,88,63,73,83,82,87,82,84,84,74,63,80,37,75,83,56,82,15,Spain,Right
184,83,83,35,194,85,3,2,4,56,61,71,68,83,76,57,65,83,80,58,48,56,80,34,62,73,61,83,79,72,69,86,14,Spain,Right
